Period SHA SHB XAB XBA DIAp DIBp
0 0.19197942441051863 0.19197942441051863 0 0 0.49001744210549597 0.5099825578945041
1 0.18360563716085385 0.18360563716085385 0 0 0.48266745710939385 0.5173325428906062
2 0.17554867360821888 0.17554867360821888 0 0 0.4782118910598921 0.521788108940108
3 0.16785512771768674 0.16785512771768674 0 0 0.47838809851229563 0.5216119014877044
4 0.1606002184011048 0.1606002184011048 0 0 0.4763586636775027 0.5236413363224973
5 0.1535263340162419 0.1535263340162419 0 0 0.4824049393235588 0.5175950606764412
6 0.14695332681197992 0.14695332681197992 0 0 0.4761276442443448 0.5238723557556553
7 0.140418840086538 0.140418840086538 0 0 0.4863912884455904 0.5136087115544097
8 0.13417691705519896 0.13417691705519896 0 0 0.4845251606064833 0.5154748393935168
9 0.12847005943588286 0.12847005943588286 0 0 0.4774269099285494 0.5225730900714506
10 0.12310069194052012 0.12310069194052012 0 0 0.4780763830486385 0.5219236169513615
11 0.11773477419226384 0.11773477419226384 0 0 0.486628722983413 0.5133712770165869
12 0.11233147308238099 0.11233147308238099 0 0 0.4932415442534444 0.5067584557465555
13 0.10711521335230743 0.10711521335230743 0 0 0.4927036510262278 0.5072963489737721
14 0.10258500547596873 0.10258500547596873 1 0 0.4789863879896466 0.5210136120103535
15 0.09855255786355416 0.11505255786355417 1 0 0.4750190836284072 0.5249809163715928
16 0.09477055846862666 0.11589055846862668 1 0 0.4762520115153475 0.5237479884846525
17 0.09130418469893038 0.11316503469893041 1 0 0.47290615911174244 0.5270938408882575
18 0.08801931168058641 0.10938007968058644 1 0 0.47392347436757637 0.5260765256324237
19 0.08496514726027558 0.1054535538252756 1 0 0.47199120568970776 0.5280087943102922
20 0.08223026422158244 0.10175882385678245 1 0 0.4676081836274687 0.5323918163725313
21 0.07966031523479088 0.09823375610971938 1 0 0.4684196758405531 0.5315803241594469
22 0.07747856881010332 0.0951303696843766 1 0 0.46083172293826985 0.5391682770617301
23 0.07575473509463115 0.09252626649941088 1 0 0.4528583077634591 0.547141692236541
24 0.07412365305515137 0.09005737367918473 1 1 0.4561477740608828 0.5438522259391173
25 0.08882394041611574 0.08746122771947999 2 1 0.46379472855488324 0.5362052714451169
26 0.09168697526139709 0.1014474815940689 2 1 0.4627243405588212 0.5372756594411787
27 0.09066831384394144 0.10358897238015667 2 1 0.4649911869755921 0.535008813024408
28 0.08849315529511077 0.10197167948617365 2 1 0.46419453577837233 0.5358054642216277
29 0.08591246936516873 0.09911435387862574 2 1 0.467704637045376 0.532295362954624
30 0.08297809510287056 0.09565098994619733 2 1 0.47718974240994516 0.522810257590055
31 0.08013933396591727 0.09222184857040676 2 1 0.47391117029626206 0.5260888297037378
32 0.07783526430845229 0.08932793046881589 2 1 0.4614984955506636 0.5385015044493365
33 0.07602108175106828 0.08694382610782624 2 1 0.45407198077077526 0.5459280192292247
34 0.07442368589581826 0.08480184783119446 2 1 0.4539982843893742 0.5460017156106258
35 0.07326475784157384 0.08312452476301174 2 1 0.4443924538216251 0.5556075461783748
36 0.07254677150175165 0.08191371939445172 2 1 0.4363725153673894 0.5636274846326106
37 0.07213430851578405 0.08103296488856934 2 1 0.43203204312498994 0.5679679568750101
38 0.0719195756591918 0.08037331765199551 2 1 0.42936140530947375 0.5706385946905262
39 0.07200152580574129 0.08003258678366187 2 1 0.4224674338886638 0.5775325661113363
40 0.07246121241381077 0.08009072235080515 2 1 0.4137561711630746 0.5862438288369255
41 0.07246623064550249 0.0797142657482772 2 1 0.4306558455780425 0.5693441544219576
42 0.07221680868896292 0.07910244225526682 2 1 0.43404171047122986 0.5659582895287701
43 0.07216251561772642 0.07870386757787554 2 1 0.4259647332357905 0.5740352667642096
44 0.07211143922683173 0.07832572361278631 2 1 0.427776098177825 0.572223901822175
45 0.07221002859803433 0.07811359877254945 2 1 0.42332318079251663 0.5766768192074835
46 0.07200577024158274 0.07761416190996533 2 1 0.4338221262511956 0.5661778737488044
47 0.07162899238442681 0.07695696447024603 2 1 0.43638028967622233 0.5636197103237777
48 0.07116056582879361 0.07622213931060427 2 2 0.43790107431928826 0.5620989256807117
49 0.0870995885868091 0.0754080833946224 2 2 0.440310501864513 0.5596894981354871
50 0.09078693462589763 0.07423500469335101 2 2 0.4512636781179163 0.5487363218820837
51 0.09054678891305828 0.07302560547714915 2 2 0.4501444359432126 0.5498555640567874
52 0.08955177615216721 0.07231369138805689 2 2 0.43595180761601465 0.5640481923839854
53 0.08828844806885207 0.07171659057794837 2 2 0.4379214267175209 0.5620785732824791
54 0.087249735594693 0.07144189757988485 2 2 0.42984836696161277 0.5701516330383872
55 0.08620587092308352 0.07116711558752739 2 2 0.4331927929860123 0.5668072070139876
56 0.08510360973318355 0.07080976012131408 2 2 0.43597311937657823 0.5640268806234218
57 0.08425879183607723 0.07067731413058116 2 2 0.42873600266700085 0.5712639973329992
58 0.08304808786020623 0.07014491825049235 2 2 0.44312678904907804 0.5568732109509219
59 0.08211128551385778 0.06985302167409703 2 2 0.432579869896848 0.5674201301031521
60 0.08151213345982512 0.06986669941757667 2 2 0.42590110465873293 0.574098895341267
61 0.08122878428519524 0.07016559442488221 2 3 0.4201472283268637 0.5798527716731362
62 0.09742043655318379 0.07041039710422799 2 3 0.4241925300669989 0.575807469933001
63 0.10145825035984565 0.07035370988639036 2 3 0.43256619863093587 0.5674338013690642
64 0.10147712802458345 0.07013096358580831 2 3 0.43479168413926905 0.5652083158607311
65 0.10015426311710067 0.06978244607389673 2 3 0.43725149292589477 0.5627485070741052
66 0.0982854541551834 0.06923655089143836 3 3 0.44239160603025907 0.5576083939697409
67 0.0965208665166039 0.0853598349820547 3 4 0.43594403984302427 0.5640559601569757
68 0.11122322465703 0.08954393546599107 3 4 0.43972710929009123 0.5602728907099087
69 0.11419875530982333 0.0899482485313747 3 4 0.4365963817642342 0.5634036182357658
70 0.11364061392563396 0.0893964224106104 3 4 0.42925187699881845 0.5707481230011816
71 0.11177787448662323 0.08834784322243672 3 4 0.43578186510783695 0.564218134892163
72 0.10932799534075006 0.08693810936255121 3 4 0.44307125868004327 0.5569287413199567
73 0.10632331635699295 0.0850095771062209 3 4 0.4567925462912346 0.5432074537087654
74 0.10272355870478897 0.08246120171796607 3 4 0.47260483917687474 0.5273951608231253
75 0.0993967315360759 0.08014277184805961 4 4 0.46233527054959694 0.537664729450403
76 0.09672779665636855 0.09493497717107671 4 4 0.44836921381385614 0.5516307861861439
77 0.09463259277823878 0.09837390019925835 4 5 0.43994277591979275 0.5600572240802073
78 0.10886234578906687 0.09771326819661087 4 5 0.4528245065244624 0.5471754934755375
79 0.11065583172310291 0.0952121125282696 4 5 0.4703228197249948 0.5296771802750053
80 0.10806983460194731 0.09179710985779564 4 5 0.4830692302652103 0.5169307697347896
81 0.10419333359681664 0.08820585189188272 4 5 0.48319549843888393 0.5168045015611161
82 0.09997257178885424 0.08461009441383038 4 5 0.48530309295032026 0.5146969070496799
83 0.09608796800146777 0.08143607247593403 4 5 0.47613072138374657 0.5238692786162533
84 0.09207400799764734 0.07813571838203412 4 5 0.48718756934623036 0.5128124306537697
85 0.08775533463590364 0.07450769317517354 4 5 0.4992672009886308 0.5007327990113692
86 0.08378479422432213 0.07119746694908234 4 5 0.50979295144327 0.4902070485567301
87 0.07994367867071019 0.06798503535634214 4 5 0.5063769536949593 0.49362304630504067
88 0.07645523527655584 0.06509429893495243 4 5 0.5119351384052061 0.4880648615947939
