Period SHA SHB XAB XBA DIAp DIBp
0 0.19165000000000001 0.1919390967131032 0 0 0.5087605064576723 0.49123949354232765
1 0.182612 0.18389032351857035 0 0 0.5275236280544929 0.47247637194550707
2 0.173661085 0.1768504718603417 0 0 0.5498110477615007 0.45018895223849936
3 0.16503732679999997 0.17033112910210638 0 0 0.5488527740588125 0.45114722594118745
4 0.15680502815649996 0.1646176845112986 0 0 0.5617109754187743 0.43828902458122565
5 0.14897123408851995 0.15935591408168276 0 0 0.5619420266888159 0.43805797331118423
6 0.14152480330624279 0.1554373673358281 0 0 0.5930133759262515 0.40698662407374864
7 0.13444926634523977 0.15281763425065123 0 0 0.6156328219817817 0.38436717801821835
8 0.12772703508539976 0.1510073450685121 0 0 0.6251632693169895 0.3748367306830105
9 0.12134075991007903 0.15024828046442337 0 0 0.6474911246759707 0.35250887532402925
10 0.11527374718562833 0.15033627909738115 0 0 0.6624025085423569 0.33759749145764306
11 0.10951006816579448 0.15135055097223535 0 0 0.6825136258540662 0.31748637414593384
12 0.10403456750952245 0.15311276760945963 0 0 0.6974086624856782 0.3025913375143218
13 0.09883284004221216 0.15552148610160232 0 0 0.7116830694330234 0.2883169305669766
14 0.09389119833979627 0.15892490683483354 0 0 0.7381290081923683 0.26187099180763174
15 0.08919663852170572 0.1630369765796902 0 1 0.7536085370895637 0.24639146291043626
16 0.1012368066282572 0.16801424656851263 0 1 0.7772689345221048 0.22273106547789534
17 0.10161996630761447 0.17324285664561154 0 2 0.7817185816863111 0.21828141831368877
18 0.1148358179957879 0.1787931704630085 0 3 0.7943872804804372 0.20561271951956284
19 0.13163198759717137 0.18469195769349847 1 3 0.8075253048256609 0.19247469517433924
20 0.13248791518269984 0.2075196680416842 1 4 0.8232006404290693 0.1767993595709308
21 0.14481790332214256 0.21882488551770923 1 5 0.8363830048868258 0.16361699511317412
22 0.1603319548425661 0.22650903162235442 1 5 0.8475937603258962 0.15240623967410383
23 0.1598244895069929 0.2328632042680422 1 5 0.8494922848857687 0.15050771511423144
24 0.15431127872580647 0.23909010935652059 1 6 0.8647208880919601 0.1352791119080399
25 0.16391345930859 0.24548968723658068 1 7 0.8774836908565318 0.12251630914346821
26 0.17793264203445489 0.2518380520030193 1 7 0.8807879279837949 0.119212072016205
27 0.17636691231085927 0.2581148540925579 1 7 0.885550438707917 0.11444956129208282
28 0.16996776448009823 0.2640374898693502 1 7 0.8818698767825044 0.11813012321749558
29 0.16226771152507136 0.2701404780212164 1 7 0.8967120529231827 0.10328794707681721
30 0.15441777658758055 0.27613247079389863 1 8 0.8978306666903934 0.10216933330960667
31 0.16328382646899323 0.28222472676196925 2 8 0.9080061819827359 0.09199381801726417
32 0.16059332492010484 0.30474134493627053 2 9 0.9109461901465781 0.089053809853422
33 0.1708699762997048 0.315006768070561 2 10 0.9065241936973364 0.09347580630266368
34 0.18486756230116927 0.321565060855808 2 11 0.9209942231215378 0.07900577687846212
35 0.19956274217553924 0.3268722853751967 2 11 0.924958462723738 0.07504153727626196
36 0.19748432920327366 0.33150606958309264 2 12 0.9218239660950506 0.0781760339049494
37 0.20671702170815873 0.3357664373209422 2 13 0.9216099915062951 0.07839000849370488
38 0.21918645058121689 0.3399930220727497 3 14 0.9284586398861584 0.07154136011384168
39 0.2322528704384499 0.360858482593458 3 15 0.937278558801628 0.06272144119837197
40 0.24506872190400436 0.36969050374404233 4 15 0.935741164976458 0.06425883502354199
41 0.24087668915467156 0.391013251647483 4 16 0.9375315499441786 0.062468450055821315
42 0.24799311780107425 0.39918163266005824 4 17 0.9418982871223406 0.0581017128776594
43 0.2584163487353855 0.40314747374296506 4 17 0.9478072221083759 0.0521927778916241
44 0.25302708395065665 0.40590091759171204 4 18 0.9550179708983348 0.04498202910166514
45 0.25936114212829714 0.4083413496595581 5 19 0.9598457018359461 0.04015429816405395
46 0.26915827110568946 0.4271952990364133 5 20 0.9626760344600195 0.03732396553998049
47 0.2797128689580614 0.43414627884756923 6 21 0.9651911878555057 0.03480881214449427
48 0.29015135427468497 0.45380111146770463 6 22 0.9702909330524698 0.02970906694753016
49 0.30020374905324454 0.4603432021599687 7 23 0.9722011484854473 0.02779885151455283
50 0.3097983492230393 0.47910187522724873 8 23 0.973612875988309 0.02638712401169099
51 0.3024280116772981 0.5011660112930197 8 24 0.9767637842209564 0.023236215779043525
52 0.3064860724655188 0.5071114802462111 9 25 0.9793158689360082 0.020684131063991862
53 0.3139909910950311 0.5243366741152461 10 26 0.9802886042562897 0.019711395743710284
54 0.32232508488369965 0.5445717461500723 11 27 0.9818258284771041 0.01817417152289586
55 0.33063993294284333 0.5651245482441387 11 28 0.983401833550784 0.016598166449216
56 0.3386702000557996 0.5686489470828224 11 29 0.9852353863143208 0.014764613685679133
57 0.34634223709384215 0.5667841761584311 11 30 0.9872748414229083 0.012725158577091644
58 0.3536449557626248 0.5633288725509285 12 31 0.98838096904853 0.011619030951470056
59 0.3605872520472402 0.5760240050928136 13 32 0.9893905288876783 0.010609471112321644
